Co Code,Company,Company Group,CoGroupCode
1000,Tata Housing Dev Co. Ltd,Tata Housing,TH
1010,APEX Realty Pvt. Ltd.,Tata Housing,TH
1020,Concept Mktg & Advt. Ltd.,Tata Housing,TH
1021,THDC Mgmt Services Ltd,Tata Housing,TH
1030,Technopolis Know Park Ltd,Tata Housing,TH
1040,Standard Farms Pvt. Ltd.,Tata Housing,TH
1050,Ardent Properties Pvt Ltd,Tata Housing,TH
1060,Landscape Structures Pvt,Tata Housing,TH
1070,Gurgaon Infratech Pvt Ltd,Tata Housing,TH
1071,Kolkata-One Excelton PLTD,Tata Housing,TH
1080,Kriday Realty Private Ltd,Tata Housing,TH
1090,Princeton Infra Pvt. Ltd.,Tata Housing,TH
1100,Gatevida Developers P Ltd,Tata Housing,TH
1110,Promont Hillside Pvt Ltd,Tata Housing,TH
1120,Promont Hilltop Pvt Ltd,Tata Housing,TH
1130,Sohna City LLP,Tata Housing,TH
1140,North Bombay Real Estate,Tata Housing,TH
1150,One Bangalore Lux Pro LLP,Tata Housing,TH
3000,Tata Value Homes Limited,Tata Value Homes,TV
3010,Arvind & Smart Value Home,Tata Value Homes,TV
3020,SVH (Peenya Project) PL,Tata Value Homes,TV
3030,SVH (Boisar) PL,Tata Value Homes,TV
3040,SVH (New Project) LLP,Tata Value Homes,TV
3050,HLT Residency Pvt Ltd,Tata Value Homes,TV
3051,HL Promoters Private Ltd,Tata Value Homes,TV
3060,Land KartBuilders Pvt Ltd,Tata Value Homes,TV
4000,World-One Dev Co. Pte Ltd,Tata Value Homes,TV
4010,WorldOne (SL)Proj Pte Ltd,Tata Value Homes,TV
4011,One-Colombo Proj Pvt Ltd,Tata Value Homes,TV
5100,TATA Realty & Infra Ltd.,Tata Realty,TR
5110,Gurgaon Realtech Ltd.,Tata Realty,TR
5120,Gurgaon Construct Well,Tata Realty,TR
5130,TRIL IT4 Private Limited,Tata Realty,TR
5140,Arrow Infra Estates Pvt L,Tata Realty,TR
5170,TRIL Constructions Ltd,Tata Realty,TR
5230,TRIL Hospitality Pvt Ltd,Tata Realty,TR
5240,INFOPARK PROPERTIES LTD.,Tata Realty,TR
5250,Acme Living Solutions,Tata Realty,TR
5290,TRIF Gurgaon Housing Proj,Tata Realty,TR
5320,HV Farms Private Limited,Tata Realty,TR
5330,TRIL Infopark Limited,Tata Realty,TR
5340,TRIL Bengaluru Consultant,NULL,NULL
5350,MIA Infrastructure Pvt Lt,Tata Realty,TR
5360,TRIF Real Estate & Develo,Tata Realty,TR
5370,International Infrabuild,Tata Realty,TR
5380,Mikado Realtors Pvt Ltd,Tata Realty,TR
5390,INDUSTRIAL MINERALS & CHE,Tata Realty,TR
